,x,y,counts
0,262.61640603066223,333.62925790533785,37
1,264.2406934425529,333.84052826566625,45
2,267.13209889857717,333.99620116245245,53
3,267.13209889857717,333.99620116245245,41
4,269.4962508861501,333.96284268517593,36
5,269.4962508861501,333.96284268517593,41
6,271.80937463253014,334.11851558196213,43
7,271.80937463253014,334.11851558196213,33
8,274.4456557125328,334.2741884794557,37
9,275.8658467418301,334.3075469574394,33
10,275.8658467418301,334.3075469574394,38
11,278.57016312980517,334.34090543542334,40
12,279.9393292948663,334.37426391340705,33
13,279.9393292948663,334.37426391340705,43
14,282.8647518839208,334.4854588404913,45
15,284.42951474135214,334.4409808693747,45
16,286.87871464707393,334.06291811842004,55
17,286.87871464707393,334.06291811842004,39
18,289.8126571559563,333.35127058833467,45
19,289.8126571559563,333.35127058833467,28
20,291.2753760124673,333.01768580849665,55
21,291.2753760124673,333.01768580849665,51
22,292.87415669242296,332.91761037454523,53
23,293.9626866901361,332.92872986697074,48
24,293.9626866901361,332.92872986697074,55
25,296.35235263620535,332.8286544337267,68
26,296.35235263620535,332.8286544337267,50
27,298.5379200740585,332.68410102865863,50
28,301.6589430088359,332.55066711672345,84
29,303.21520331569576,332.4394721896392,112
30,303.21520331569576,332.4394721896392,99
31,305.8344812505686,332.3393967563951,145
32,307.26317472658866,332.46171117519754,234
33,308.5813161432585,332.4950696538886,342
34,308.5813161432585,332.4950696538886,357
35,310.79239685784137,332.3171577701295,692
36,310.79239685784137,332.3171577701295,688
37,313.98995656673213,332.21708233688537,226
38,315.47818153875613,332.21708233688537,140
39,316.8303397615145,332.2393213217364,109
40,316.8303397615145,332.2393213217364,117
41,319.2540220697104,332.161484872636,74
42,320.4361000281762,332.06140943939187,63
43,320.4361000281762,332.06140943939187,58
44,323.5231140846592,331.5832712544858,44
45,326.4145316011458,331.1718500262548,45
46,327.79220618502495,331.01617712876117,41
47,327.79220618502495,331.01617712876117,38
48,330.40298475997287,330.71595082690703,33
49,331.483015374166,330.51579995900414,27
50,332.4609975149204,330.26005162826647,37
51,333.60906060619146,330.0932592376402,29
52,333.60906060619146,330.0932592376402,37
53,335.99872676744536,330.0154227885398,29
54,337.22332721413176,329.8486303993281,23
55,337.22332721413176,329.8486303993281,35
56,339.30685172828294,329.4372091703897,28
57,340.71004054139735,329.21481931692847,36
58,340.71004054139735,329.21481931692847,35
59,343.15922377976415,329.67071851627634,35
60,345.1151632286848,330.27117111998473,31
61,346.1611683343283,330.4713219878875,27
62,346.1611683343283,330.4713219878875,34
63,348.48279750938326,330.5602779294135,21
64,348.48279750938326,330.5602779294135,27
65,349.8349535149561,330.6825923489232,29
66,349.8349535149561,330.6825923489232,35
67,351.620820560665,330.81602626015103,35
68,351.620820560665,330.81602626015103,24
69,351.620820560665,330.81602626015103,28
70,353.8148773557289,331.33864241617374,34
71,355.2010461657042,331.6166297317623,28
72,355.2010461657042,331.6166297317623,40
73,357.4291263857084,331.8390195859308,25
74,357.4291263857084,331.8390195859308,32
75,360.2099853529718,331.66110770358625,34
76,362.7102127299668,331.2719254602061,37
77,363.7392178034343,331.11625256271265,33
78,363.7392178034343,331.11625256271265,37
79,364.8787762256082,330.98281865077735,37
80,364.8787762256082,330.98281865077735,37
81,367.14087728742174,331.0272966211867,26
82,368.43350572476976,331.0828940847288,24
83,368.43350572476976,331.0828940847288,22
84,370.6615866452267,331.2719254602061,33
85,370.6615866452267,331.2719254602061,26
86,372.5750101064002,331.6277492248951,31
87,372.5750101064002,331.6277492248951,26
88,375.202787542919,331.7389441519793,35
89,375.202787542919,331.7389441519793,32
90,378.44286239702484,331.8834975570474,22
91,379.73548764673933,332.06140943939187,43
92,379.73548764673933,332.06140943939187,29
93,382.36325877234856,332.41723320478815,28
94,382.36325877234856,332.41723320478815,21
95,384.6678720793113,332.78417646190275,20
96,384.6678720793113,332.78417646190275,31
97,387.1595749804834,333.206717183974,24
98,388.70732399314795,333.395748558744,31
99,390.4421672438883,333.4624655147116,29
100,391.5392047286786,333.3401510952018,31
101,391.5392047286786,333.3401510952018,31
102,393.72477965735453,332.93984935939625,36
103,394.8898454099646,333.0065663160712,35
104,394.8898454099646,333.0065663160712,22
105,397.806765323601,333.0399247933477,30
106,401.06384826177367,333.1733587052828,32
107,402.2969485782468,333.18447819770836,27
108,402.2969485782468,333.18447819770836,31
109,404.8481834845652,333.4735850078444,26
110,404.8481834845652,333.4735850078444,36
111,407.4674541245823,333.66261638261443,29
112,407.4674541245823,333.66261638261443,31
113,410.8776144153765,333.6848553681727,28
114,410.8776144153765,333.6848553681727,35
115,414.6024328212452,333.5291824706792,29
116,414.6024328212452,333.5291824706792,41
117,417.7404655034322,333.373509573893,33
118,419.0245931068033,333.2956731254999,27
119,420.56384560886886,333.19559769084117,27
120,420.56384560886886,333.19559769084117,21
121,422.7749238086208,333.15111972043184,30
122,422.7749238086208,333.15111972043184,28
123,425.2156022962017,333.5180629775464,27
124,427.72430971133707,334.02955964114363,40
125,427.72430971133707,334.02955964114363,45
126,430.7007453660749,334.5188173184751,37
127,431.81478534983114,334.60777325929365,45
128,431.81478534983114,334.60777325929365,47
129,433.9323104849829,334.8190436203293,51
130,433.9323104849829,334.8190436203293,53
131,436.9002628409297,334.57441478201724,65
132,438.2779504965779,333.99620116245245,72
133,439.5025711324816,333.16223921285734,91
134,440.9057831139368,332.18372385890166,127
135,440.9057831139368,332.18372385890166,124
136,443.0913969757488,330.50468046657863,244
137,445.3535551759155,328.60324722079463,273
138,445.3535551759155,328.60324722079463,274
139,446.60372715835496,326.47942412154936,153
140,446.98645611331176,325.0450095682458,107
141,446.98645611331176,325.0450095682458,137
142,447.8794800905249,322.0538660414218,65
143,448.0921226709906,320.7417659069207,67
144,448.0921226709906,320.7417659069207,71
145,448.2367871179229,317.57271049704485,53
146,448.2367871179229,317.57271049704485,56
147,448.279370157365,315.47112638406526,56
148,448.228382151009,314.2257432055318,48
149,448.143379498544,312.9136430710306,37
150,448.1944436275286,311.59042344410415,43
151,448.2710353900022,309.7557071542876,38
152,448.2710353900022,309.7557071542876,40
153,448.51772150938507,307.5429281149311,19
154,448.51772150938507,307.5429281149311,31
155,448.4752785336456,304.91872784451425,32
156,448.40728548597536,303.5621497396038,32
157,448.43284774165016,301.8831063472809,20
158,448.43284774165016,301.8831063472809,33
159,448.58600374014486,299.1477111526092,38
160,448.58600374014486,299.1477111526092,39
161,448.6626239793476,296.3567184936878,37
162,448.6626239793476,296.3567184936878,59
163,448.72224086529707,293.3989334448476,69
164,448.79030882403777,292.2313867147072,71
165,448.85837712216835,291.05272049214125,63
166,448.83289695960025,289.96301021180864,79
167,448.6628749791437,287.8947845761055,101
168,448.6628749791437,287.8947845761055,107
169,447.183184987848,286.7049988611141,91
170,447.183184987848,286.7049988611141,94
171,446.30727009140384,286.2157411837825,97
172,446.30727009140384,286.2157411837825,98
173,444.40234058236894,286.0711877787145,86
174,443.24577658001283,285.97111234547043,63
175,441.89361830519783,285.81543944797687,61
176,441.89361830519783,285.81543944797687,66
177,439.88663835384835,285.68200553604174,61
178,439.88663835384835,285.68200553604174,38
179,438.03272857654923,285.71536401331815,58
180,438.03272857654923,285.71536401331815,47
181,436.1447995667845,285.83767843353525,37
182,435.12429771522727,285.89327589637,40
183,433.99324390932685,285.8710369108117,37
184,432.82817565525414,285.7709614768603,46
185,430.1748879525428,285.31506227751265,22
186,428.5591033905152,285.0481944536422,30
187,428.5591033905152,285.0481944536422,31
188,425.6336838881948,284.5255782990341,20
189,425.6336838881948,284.5255782990341,22
190,422.9888986770191,284.1141570700957,29
191,422.9888986770191,284.1141570700957,17
192,420.0549650568406,283.9362451877512,23
193,420.0549650568406,283.9362451877512,33
194,416.8063715658538,283.95848417260214,25
195,415.6072857576473,283.8806477249164,32
196,415.6072857576473,283.8806477249164,24
197,412.9454887854306,283.5804214223548,21
198,411.5252978356044,283.380270554452,20
199,410.1731399062333,283.1912391789747,29
200,407.4092920585689,282.91325186197145,20
201,407.4092920585689,282.91325186197145,26
202,404.7985087674177,283.0244467890557,23
203,403.30177241327067,283.11340273058164,19
204,402.02614568503947,283.1578807002836,23
205,400.6994963004443,283.11340273058164,19
206,400.6994963004443,283.11340273058164,23
207,399.0411874906037,282.94661033995527,16
208,399.0411874906037,282.94661033995527,19
209,396.2007957438295,282.902132369546,29
210,396.2007957438295,282.902132369546,19
211,393.3688986076775,283.2245976569585,18
212,393.3688986076775,283.2245976569585,20
213,390.7326144499272,282.8910128771205,16
214,389.5165229469065,282.70198150164316,23
215,386.2509152161135,282.94661033995527,17
216,386.2509152161135,282.94661033995527,24
217,382.76420254017853,283.0578052670395,21
218,382.76420254017853,283.0578052670395,24
219,379.5581286499379,283.1245222230072,20
220,378.0784010732822,283.20235867210755,25
221,376.7687563605809,283.30243410535167,21
222,375.5611603285768,283.4581070028451,25
223,375.5611603285768,283.4581070028451,21
224,373.1374581313869,284.0140816361443,22
225,373.1374581313869,284.0140816361443,22
226,371.4706312936538,284.4032638795244,22
227,371.4706312936538,284.4032638795244,17
228,369.7102665615232,284.46998083549204,23
229,367.5587124772693,284.4366223568008,26
230,367.5587124772693,284.4366223568008,34
231,364.7863556159295,284.3365469235568,25
232,363.4086817406134,284.2698299675892,26
233,363.4086817406134,284.2698299675892,19
234,360.2281265279982,284.0919180845374,29
235,360.2281265279982,284.0919180845374,22
236,356.5798450435469,283.7805722902577,31
237,354.4793195012837,283.5915409147804,15
238,352.948570711963,283.51370446638725,17
239,351.62191914634025,283.55818243679647,13
240,350.44834187608285,283.6360188851896,21
241,350.44834187608285,283.6360188851896,30
242,348.0076427816853,283.73609431984835,28
243,348.0076427816853,283.73609431984835,21
244,345.7200215722509,283.71385533429003,20
245,345.7200215722509,283.71385533429003,25
246,343.7045375849676,283.5248239588128,21
247,341.0427326044192,283.51370446638725,22
248,339.6480499598765,283.4581070028451,27
249,338.4829816400653,283.3246730916172,31
250,337.14782841000334,283.25795613494233,19
251,337.14782841000334,283.25795613494233,26
252,334.1798693167292,283.4247485248613,30
253,334.1798693167292,283.4247485248613,22
254,332.5385564156058,283.7916917826832,32
255,331.27993634596197,283.9251256946184,25
256,329.8937554479941,283.9807231581605,22
257,329.8937554479941,283.9807231581605,31
258,328.12488595574933,284.0807985921119,27
259,328.12488595574933,284.0807985921119,37
260,323.03088447006013,284.2587104744564,30
261,321.3980822422282,284.3365469235568,33
262,321.3980822422282,284.3365469235568,28
263,319.110459678026,284.3810248939661,31
264,318.0304334137842,284.22535199576527,29
265,318.0304334137842,284.22535199576527,23
266,316.09149550725874,283.61377990033867,29
267,314.69682249672815,283.09116374431596,29
268,314.69682249672815,283.09116374431596,29
269,311.9840222111573,281.6345102061615,33
270,309.27973512516314,279.7108379748191,36
271,309.27973512516314,279.7108379748191,29
272,304.06673992060564,276.60849952161817,42
273,302.2213406140568,276.2860342342056,33
274,302.2213406140568,276.2860342342056,43
275,299.8316575428917,276.79753089638814,40
276,297.9947215965709,278.5432912446787,36
277,297.9947215965709,278.5432912446787,39
278,296.49796057895696,279.8998693495891,32
279,296.49796057895696,279.8998693495891,37
280,294.4823748050523,284.88140206372316,47
281,294.4823748050523,284.88140206372316,30
282,291.03814130446955,287.2164955232966,48
283,289.1417299097243,286.2713386466174,27
284,289.1417299097243,286.2713386466174,27
285,287.1943312654372,283.3246730916172,36
286,286.02074064033866,284.1252765632285,36
287,286.02074064033866,284.1252765632285,36
288,282.65306698571925,285.32618176993805,40
289,282.65306698571925,285.32618176993805,49
290,279.4044548908556,286.3825335737016,43
291,277.7291363578953,286.23798016934086,40
292,277.7291363578953,286.23798016934086,38
293,273.80017647455486,288.1171744295666,47
294,273.80017647455486,288.1171744295666,49
295,271.0873494368837,287.98374051763136,39
296,271.0873494368837,287.98374051763136,39
297,268.7402013608991,287.8614260981217,46
298,267.6006387676085,288.09493544400834,46
299,267.6006387676085,288.09493544400834,58
300,264.9473205888218,289.1179287690807,60
301,264.9473205888218,289.1179287690807,50
302,262.0814086279373,289.5627084760029,45
303,262.0814086279373,289.5627084760029,45
304,258.45011957750563,290.14092209415315,53
305,256.570696738413,290.26323651295553,74
306,252.58223978237086,290.44114839671465,48
307,250.6603000658804,290.3299534689231,57
308,250.6603000658804,290.3299534689231,43
309,247.30116076294613,289.94077122625026,51
310,247.30116076294613,289.94077122625026,42
311,243.38074056088126,289.9074127482665,44
312,243.38074056088126,289.9074127482665,45
313,238.09964984840576,290.11868310859484,47
314,235.3528049775499,290.06308564576,39
315,235.3528049775499,290.06308564576,59
316,230.05470931484984,290.06308564576,51
317,227.48644821954056,290.25211702052997,45
318,224.7225920290772,290.396670425598,68
319,222.77514075134133,290.2076390501207,40
320,222.77514075134133,290.2076390501207,44
321,219.6626412319796,288.46187870183013,43
322,217.82576015243407,287.1386590741962,36
323,215.93787167687302,284.55893677701795,41
324,215.2405492410117,283.1912391789747,54
325,215.2405492410117,283.1912391789747,55
326,214.56025694642528,280.2779321005437,49
327,214.2286142428936,278.86575653279857,46
328,214.2286142428936,278.86575653279857,35
